gen,mejorfitness,mediapoblacion
1075,0.9717,0.3972
1076,0.9717,0.4577
1077,0.9717,0.5413
1078,0.9717,0.4277
1079,0.9717,0.5682
1080,0.9717,0.5802
1081,0.9717,0.6122
1082,0.9717,0.3944
1083,0.9717,0.6292
1084,0.9717,0.5356
1085,0.9717,0.6546
1086,0.9717,0.4937
1087,0.9717,0.5205
1088,0.9717,0.4073
1089,0.9717,0.4561
1090,0.9717,0.5898
1091,0.9717,0.4274
1092,0.9717,0.5567
1093,0.9717,0.7122
1094,0.9717,0.5443
1095,0.9717,0.3534
1096,0.9717,0.4268
1097,0.9717,0.5397
1098,0.9717,0.5696
1099,0.9717,0.5927
1100,0.9717,0.5848
1101,0.9717,0.5831
1102,0.9717,0.4899
1103,0.9717,0.5858
1104,0.9717,0.6002
1105,0.9717,0.6577
1106,0.9717,0.5378
1107,0.9717,0.6803
1108,0.9717,0.4881
1109,0.9717,0.4323
1110,0.9717,0.4431
1111,0.9717,0.4780
1112,0.9717,0.3729
1113,0.9717,0.4849
1114,0.9717,0.3917
1115,0.9717,0.5018
1116,0.9717,0.5489
1117,0.9717,0.4354
1118,0.9717,0.6123
1119,0.9717,0.4180
1120,0.9717,0.3980
1121,0.9717,0.5103
1122,0.9717,0.5795
1123,0.9717,0.5542
1124,0.9717,0.7796
1125,0.9717,0.3185
1126,0.9717,0.4222
1127,0.9717,0.5216
1128,0.9717,0.4714
1129,0.9717,0.3562
1130,0.9717,0.4494
1131,0.9717,0.4586
1132,0.9717,0.7039
1133,0.9717,0.4330
1134,0.9717,0.3174
1135,0.9717,0.4804
1136,0.9717,0.5674
1137,0.9717,0.5334
1138,0.9717,0.7215
1139,0.9717,0.3075
1140,0.9717,0.4723
1141,0.9717,0.3722
1142,0.9717,0.3652
1143,0.9717,0.4416
1144,0.9717,0.5519
1145,0.9717,0.4894
1146,0.9717,0.6467
