====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelB.pkl
Generando dataset exploratorio para blackbox_modelB.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 260/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5806
Generación 261/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6394
Generación 262/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4474
Generación 263/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4843
Generación 264/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5431
Generación 265/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6029
Generación 266/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5984
Generación 267/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5416
Generación 268/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6905
Generación 269/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5062
Generación 270/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5196
Generación 271/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5939
Generación 272/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5804
Generación 273/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5007
Generación 274/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4664
Generación 275/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6342
Generación 276/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6032
Generación 277/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5520
Generación 278/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6118
Generación 279/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6121
Generación 280/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5364
Generación 281/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5194
Generación 282/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4704
Generación 283/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4909
Generación 284/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6075
Generación 285/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6298
Generación 286/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5549
Generación 287/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6815
Generación 288/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5908
Generación 289/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6047
Generación 290/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6099
Generación 291/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4305
Generación 292/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6966
Generación 293/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7360
Generación 294/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7469
