====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelA.pkl
Generando dataset exploratorio para blackbox_modelA.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
¡Parada temprana! Se han alcanzado 1000 generaciones sin mejorar el fitness (0.8926).

=== FIN DEL ALGORITMO ===
--- RESULTADOS PARA blackbox_modelA.pkl ---
Mejor Fitness Final: 0.8926
Tiempo Total: 880.76 s | Memoria Media: 189.35 MB | CPU Media: 92.15%
Ecuación:
(((x + ((((4.06 + -3.13) + (-1.36 + -2.40)) + (y + (1.95 * (y * y)))) + (y - 0.43))) + 1.95) + ((((1.95 * y) * (1.95 * y)) - (-1.36 + (x - (-4.75 + -1.59)))) + ((x * x) + ((x - -2.82) * (((y + (y * y)) + ((((x * 1.84) + (y * -2.36)) * 4.06) + (4.53 - ((x - -2.82) + 2.36)))) + -2.40)))))

--- Generando gráfica de fitness para el punto origen [-0.5  0.5] ---
Gráficas guardadas en la carpeta 'output/' como frontera_blackbox_modelA.png y fitness_blackbox_modelA.png

[OK] Finalizado éxito: blackbox_modelA.pkl
--------------------------------------------------

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelB.pkl
Generando dataset exploratorio para blackbox_modelB.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 1/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0091
Generación 2/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0101
Generación 3/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0131
Generación 4/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0194
Generación 5/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0354
Generación 6/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0341
Generación 7/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0293
Generación 8/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0193
Generación 9/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0238
Generación 10/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0249
Generación 11/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0223
Generación 12/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0196
Generación 13/1000 | Mejor Fitness: 0.2399 | Media Población: 0.0329
Generación 14/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0422
Generación 15/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0471
Generación 16/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0410
Generación 17/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0429
Generación 18/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0371
Generación 19/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0469
Generación 20/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0383
Generación 21/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0343
Generación 22/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0387
Generación 23/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0396
Generación 24/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0329
Generación 25/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0596
Generación 26/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0496
Generación 27/1000 | Mejor Fitness: 0.2665 | Media Población: 0.0609
Generación 28/1000 | Mejor Fitness: 0.2682 | Media Población: 0.0637
Generación 29/1000 | Mejor Fitness: 0.2682 | Media Población: 0.0811
Generación 30/1000 | Mejor Fitness: 0.2682 | Media Población: 0.0586
Generación 31/1000 | Mejor Fitness: 0.2682 | Media Población: 0.0579
Generación 32/1000 | Mejor Fitness: 0.2682 | Media Población: 0.0592
Generación 33/1000 | Mejor Fitness: 0.2682 | Media Población: 0.0824
Generación 34/1000 | Mejor Fitness: 0.2682 | Media Población: 0.0762
Generación 35/1000 | Mejor Fitness: 0.2704 | Media Población: 0.1053
Generación 36/1000 | Mejor Fitness: 0.2704 | Media Población: 0.1145
Generación 37/1000 | Mejor Fitness: 0.2704 | Media Población: 0.1266
Generación 38/1000 | Mejor Fitness: 0.2704 | Media Población: 0.1274
Generación 39/1000 | Mejor Fitness: 0.2704 | Media Población: 0.1228
Generación 40/1000 | Mejor Fitness: 0.2704 | Media Población: 0.1060
Generación 41/1000 | Mejor Fitness: 0.2704 | Media Población: 0.1107
Generación 42/1000 | Mejor Fitness: 0.3148 | Media Población: 0.1230
Generación 43/1000 | Mejor Fitness: 0.3148 | Media Población: 0.1454
Generación 44/1000 | Mejor Fitness: 0.3214 | Media Población: 0.1323
Generación 45/1000 | Mejor Fitness: 0.3214 | Media Población: 0.1473
Generación 46/1000 | Mejor Fitness: 0.3214 | Media Población: 0.1570
Generación 47/1000 | Mejor Fitness: 0.3214 | Media Población: 0.1681
Generación 48/1000 | Mejor Fitness: 0.3214 | Media Población: 0.1032
Generación 49/1000 | Mejor Fitness: 0.3214 | Media Población: 0.0995
Generación 50/1000 | Mejor Fitness: 0.3214 | Media Población: 0.1220
Generación 51/1000 | Mejor Fitness: 0.3214 | Media Población: 0.1186
Generación 52/1000 | Mejor Fitness: 0.3695 | Media Población: 0.1428
Generación 53/1000 | Mejor Fitness: 0.3695 | Media Población: 0.1450
Generación 54/1000 | Mejor Fitness: 0.3695 | Media Población: 0.1049
Generación 55/1000 | Mejor Fitness: 0.3695 | Media Población: 0.1324
Generación 56/1000 | Mejor Fitness: 0.3824 | Media Población: 0.1366
Generación 57/1000 | Mejor Fitness: 0.3824 | Media Población: 0.1508
Generación 58/1000 | Mejor Fitness: 0.3891 | Media Población: 0.1619
Generación 59/1000 | Mejor Fitness: 0.3891 | Media Población: 0.1590
Generación 60/1000 | Mejor Fitness: 0.3913 | Media Población: 0.1772
Generación 61/1000 | Mejor Fitness: 0.3962 | Media Población: 0.2143
Generación 62/1000 | Mejor Fitness: 0.3962 | Media Población: 0.2235
Generación 63/1000 | Mejor Fitness: 0.3962 | Media Población: 0.2386
Generación 64/1000 | Mejor Fitness: 0.3962 | Media Población: 0.2366
Generación 65/1000 | Mejor Fitness: 0.4119 | Media Población: 0.2656
Generación 66/1000 | Mejor Fitness: 0.4119 | Media Población: 0.2685
Generación 67/1000 | Mejor Fitness: 0.4406 | Media Población: 0.2761
Generación 68/1000 | Mejor Fitness: 0.4406 | Media Población: 0.2396
Generación 69/1000 | Mejor Fitness: 0.4406 | Media Población: 0.2230
Generación 70/1000 | Mejor Fitness: 0.4406 | Media Población: 0.2363
Generación 71/1000 | Mejor Fitness: 0.4406 | Media Población: 0.2347
Generación 72/1000 | Mejor Fitness: 0.4406 | Media Población: 0.2472
Generación 73/1000 | Mejor Fitness: 0.4406 | Media Población: 0.2299
Generación 74/1000 | Mejor Fitness: 0.4407 | Media Población: 0.2302
Generación 75/1000 | Mejor Fitness: 0.4407 | Media Población: 0.2273
Generación 76/1000 | Mejor Fitness: 0.4407 | Media Población: 0.2288
Generación 77/1000 | Mejor Fitness: 0.4429 | Media Población: 0.2379
Generación 78/1000 | Mejor Fitness: 0.4429 | Media Población: 0.2281
Generación 79/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2391
Generación 80/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2300
Generación 81/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2112
Generación 82/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2172
Generación 83/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2029
Generación 84/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2243
Generación 85/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2007
Generación 86/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2179
Generación 87/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2042
Generación 88/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2086
Generación 89/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2256
Generación 90/1000 | Mejor Fitness: 0.4584 | Media Población: 0.1925
Generación 91/1000 | Mejor Fitness: 0.4584 | Media Población: 0.1652
Generación 92/1000 | Mejor Fitness: 0.4584 | Media Población: 0.1986
Generación 93/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2178
Generación 94/1000 | Mejor Fitness: 0.4584 | Media Población: 0.2458
Generación 95/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2467
Generación 96/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2703
Generación 97/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2236
Generación 98/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2632
Generación 99/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2838
Generación 100/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2345
Generación 101/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2336
Generación 102/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2153
Generación 103/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2163
Generación 104/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2140
Generación 105/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2539
Generación 106/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2119
Generación 107/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2522
Generación 108/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2964
Generación 109/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2765
Generación 110/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2407
Generación 111/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2188
Generación 112/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2369
Generación 113/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2252
Generación 114/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2325
Generación 115/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2697
Generación 116/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2799
Generación 117/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2925
Generación 118/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2727
Generación 119/1000 | Mejor Fitness: 0.4649 | Media Población: 0.2217
Generación 120/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2400
Generación 121/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2405
Generación 122/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2541
Generación 123/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2447
Generación 124/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2315
Generación 125/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2248
Generación 126/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2218
Generación 127/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2015
Generación 128/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2091
Generación 129/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2240
Generación 130/1000 | Mejor Fitness: 0.4759 | Media Población: 0.1982
Generación 131/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2272
Generación 132/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2323
Generación 133/1000 | Mejor Fitness: 0.4759 | Media Población: 0.1906
Generación 134/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2056
Generación 135/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2007
Generación 136/1000 | Mejor Fitness: 0.4759 | Media Población: 0.1986
Generación 137/1000 | Mejor Fitness: 0.4759 | Media Población: 0.1953
Generación 138/1000 | Mejor Fitness: 0.4759 | Media Población: 0.1777
Generación 139/1000 | Mejor Fitness: 0.4759 | Media Población: 0.1856
Generación 140/1000 | Mejor Fitness: 0.4759 | Media Población: 0.2357
