gen,mejorfitness,mediapoblacion
1049,0.7756,0.4005
1050,0.7756,0.4444
1051,0.7756,0.5394
1052,0.7756,0.4109
1053,0.7756,0.4253
1054,0.7756,0.5352
1055,0.7756,0.3831
1056,0.7756,0.4088
1057,0.7756,0.5092
1058,0.7756,0.5100
1059,0.7756,0.4556
1060,0.7756,0.3911
1061,0.7756,0.4209
1062,0.7756,0.4098
1063,0.7756,0.4250
1064,0.7756,0.5037
1065,0.7756,0.4333
1066,0.7756,0.4052
1067,0.7756,0.3735
1068,0.7756,0.4793
1069,0.7756,0.4212
1070,0.7756,0.4545
1071,0.7756,0.3715
1072,0.7756,0.3833
1073,0.7756,0.4282
1074,0.7756,0.3934
1075,0.7756,0.4321
1076,0.7756,0.4019
1077,0.7756,0.5204
1078,0.7756,0.4383
1079,0.7756,0.4519
1080,0.7756,0.4792
1081,0.7756,0.5301
1082,0.7756,0.5132
1083,0.7756,0.4759
1084,0.7756,0.3851
1085,0.7756,0.4172
1086,0.7756,0.4142
1087,0.7756,0.5116
1088,0.7756,0.4899
1089,0.7756,0.3889
1090,0.7756,0.3864
1091,0.7756,0.5291
1092,0.7756,0.3499
1093,0.7756,0.4627
1094,0.7756,0.5007
1095,0.7756,0.5104
1096,0.7756,0.4928
1097,0.7756,0.4331
1098,0.7756,0.3941
1099,0.7756,0.2650
1100,0.7756,0.3933
1101,0.7756,0.4021
1102,0.7756,0.4132
1103,0.7756,0.3796
1104,0.7756,0.3612
1105,0.7756,0.3658
1106,0.7756,0.3602
1107,0.7756,0.3808
1108,0.7756,0.3309
1109,0.7756,0.3418
1110,0.7756,0.4345
1111,0.7756,0.4316
1112,0.7756,0.4324
1113,0.7756,0.4275
1114,0.7756,0.4216
1115,0.7756,0.3471
1116,0.7756,0.3416
1117,0.7756,0.5153
1118,0.7756,0.4372
1119,0.7756,0.5189
1120,0.7756,0.4213
1121,0.7756,0.3808
1122,0.7756,0.4709
1123,0.7756,0.3152
1124,0.7756,0.4305
1125,0.7756,0.3352
1126,0.7756,0.4508
1127,0.7756,0.3936
1128,0.7756,0.4821
1129,0.7756,0.4143
1130,0.7756,0.3734
1131,0.7756,0.3467
1132,0.7756,0.3534
1133,0.7756,0.4826
1134,0.7756,0.4550
1135,0.7756,0.4174
1136,0.7756,0.3393
1137,0.7756,0.5111
1138,0.7756,0.3700
1139,0.7756,0.3893
1140,0.7756,0.4497
1141,0.7756,0.5949
1142,0.7756,0.4355
1143,0.7756,0.5272
1144,0.7756,0.5653
1145,0.7756,0.5730
1146,0.7756,0.4668
