Generación 352/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4840
Generación 353/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4470
Generación 354/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4727
Generación 355/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4245
Generación 356/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3884
Generación 357/2000 | Mejor Fitness: 0.7467 | Media Población: 0.2752
Generación 358/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4154
Generación 359/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3424
Generación 360/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4773
Generación 361/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4034
Generación 362/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3540
Generación 363/2000 | Mejor Fitness: 0.7467 | Media Población: 0.2667
Generación 364/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3371
Generación 365/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4075
Generación 366/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3443
Generación 367/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4026
Generación 368/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4548
Generación 369/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4803
Generación 370/2000 | Mejor Fitness: 0.7467 | Media Población: 0.5132
Generación 371/2000 | Mejor Fitness: 0.7467 | Media Población: 0.5277
Generación 372/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4333
Generación 373/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4934
Generación 374/2000 | Mejor Fitness: 0.7467 | Media Población: 0.6214
Generación 375/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3193
Generación 376/2000 | Mejor Fitness: 0.7467 | Media Población: 0.5020
Generación 377/2000 | Mejor Fitness: 0.7467 | Media Población: 0.4941
Generación 378/2000 | Mejor Fitness: 0.7467 | Media Población: 0.3545
